id,created_at,updated_at,instrument,bar_type,priced_at,open_price,high_price,low_price,close_price,last_price,prev_close,volume,turnover,source
80,2026-03-07 16:58:05.997324+00:00,2026-03-07 16:58:05.997332+00:00,11,spot,2026-03-07 16:58:05.995848+00:00,,,,,1553.7060,1531.6860,0E-8,0.0000,akshare.stock_board_industry_index_ths.fallback_close
79,2026-03-07 16:58:04.091867+00:00,2026-03-07 16:58:04.091874+00:00,10,spot,2026-03-07 16:58:04.090731+00:00,,,,,1.7810,1.7779,0E-8,0.0000,akshare.bond_zh_us_rate
78,2026-03-07 16:58:01.834558+00:00,2026-03-07 16:58:01.834569+00:00,24,spot,2026-03-07 16:58:01.832552+00:00,,,,,0.8820,0.8808,0E-8,0.0000,yfinance.fast_info
77,2026-03-07 16:58:01.559824+00:00,2026-03-07 16:58:01.559835+00:00,9,spot,2026-03-07 16:58:01.558246+00:00,,,,,6.9031,6.9145,0E-8,0.0000,yfinance.fast_info
76,2026-03-07 16:58:01.166544+00:00,2026-03-07 16:58:01.166549+00:00,8,spot,2026-03-07 16:58:01.165702+00:00,,,,,3521.9500,3475.2800,0E-8,0.0000,akshare.stock_zh_index_hist_csindex.fallback_close
75,2026-03-07 16:57:59.640741+00:00,2026-03-07 16:57:59.640748+00:00,7,spot,2026-03-07 16:57:59.639634+00:00,,,,,1427.3530,1427.2250,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
74,2026-03-07 16:57:58.871318+00:00,2026-03-07 16:57:58.871323+00:00,6,spot,2026-03-07 16:57:58.870092+00:00,,,,,4947.5000,4796.3301,0E-8,0.0000,yfinance.fast_info
73,2026-03-07 16:57:56.820557+00:00,2026-03-07 16:57:56.820563+00:00,5,spot,2026-03-07 16:57:56.819546+00:00,,,,,34.5700,35.0800,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
72,2026-03-07 16:57:56.011232+00:00,2026-03-07 16:57:56.011242+00:00,4,spot,2026-03-07 16:57:56.010222+00:00,,,,,3229.3020,3216.9390,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
71,2026-03-07 16:57:55.194171+00:00,2026-03-07 16:57:55.194177+00:00,3,spot,2026-03-07 16:57:55.193272+00:00,,,,,8.7000,9.0800,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
70,2026-03-07 16:57:54.382034+00:00,2026-03-07 16:57:54.382040+00:00,2,spot,2026-03-07 16:57:54.381093+00:00,,,,,4660.4390,4647.6920,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
69,2026-03-07 16:57:53.318573+00:00,2026-03-07 16:57:53.318580+00:00,1,spot,2026-03-07 16:57:53.316912+00:00,,,,,3.5400,3.5500,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
68,2026-03-07 16:53:24.234193+00:00,2026-03-07 16:53:24.234199+00:00,10,spot,2026-03-07 16:53:24.233310+00:00,,,,,1.7810,1.7779,0E-8,0.0000,akshare.bond_zh_us_rate
67,2026-03-07 16:53:21.576034+00:00,2026-03-07 16:53:21.576047+00:00,24,spot,2026-03-07 16:53:21.573717+00:00,,,,,0.8820,0.8808,0E-8,0.0000,yfinance.fast_info
66,2026-03-07 16:53:21.299303+00:00,2026-03-07 16:53:21.299317+00:00,9,spot,2026-03-07 16:53:21.296934+00:00,,,,,6.9031,6.9145,0E-8,0.0000,yfinance.fast_info
65,2026-03-07 16:53:20.613759+00:00,2026-03-07 16:53:20.613773+00:00,6,spot,2026-03-07 16:53:20.609535+00:00,,,,,4947.5000,4796.3301,0E-8,0.0000,yfinance.fast_info
64,2026-03-07 16:53:07.343826+00:00,2026-03-07 16:53:07.343832+00:00,10,spot,2026-03-07 16:53:07.342916+00:00,,,,,1.7810,1.7779,0E-8,0.0000,akshare.bond_zh_us_rate
63,2026-03-07 16:53:04.775454+00:00,2026-03-07 16:53:04.775471+00:00,24,spot,2026-03-07 16:53:04.773391+00:00,,,,,0.8820,0.8808,0E-8,0.0000,yfinance.fast_info
62,2026-03-07 16:53:04.436684+00:00,2026-03-07 16:53:04.436697+00:00,9,spot,2026-03-07 16:53:04.434903+00:00,,,,,6.9031,6.9145,0E-8,0.0000,yfinance.fast_info
61,2026-03-07 16:53:02.116129+00:00,2026-03-07 16:53:02.116133+00:00,7,spot,2026-03-07 16:53:02.115307+00:00,,,,,1427.3530,1427.2250,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
60,2026-03-07 16:53:00.672162+00:00,2026-03-07 16:53:00.672179+00:00,6,spot,2026-03-07 16:53:00.669257+00:00,,,,,4947.5000,4796.3301,0E-8,0.0000,yfinance.fast_info
59,2026-03-07 16:52:59.390919+00:00,2026-03-07 16:52:59.390925+00:00,5,spot,2026-03-07 16:52:59.390052+00:00,,,,,1414.3943,1405.3534,0E-8,0.0000,akshare.stock_zh_index_spot_sina
58,2026-03-07 16:52:58.613412+00:00,2026-03-07 16:52:58.613421+00:00,4,spot,2026-03-07 16:52:58.612496+00:00,,,,,3229.3020,3216.9390,0E-8,0.0000,akshare.stock_zh_index_spot_sina
57,2026-03-07 16:52:57.832241+00:00,2026-03-07 16:52:57.832248+00:00,3,spot,2026-03-07 16:52:57.831280+00:00,,,,,8248.8569,8171.1194,0E-8,0.0000,akshare.stock_zh_index_spot_sina
56,2026-03-07 16:52:57.046047+00:00,2026-03-07 16:52:57.046054+00:00,2,spot,2026-03-07 16:52:57.045053+00:00,,,,,4660.4390,4647.6921,0E-8,0.0000,akshare.stock_zh_index_spot_sina
55,2026-03-07 16:52:56.251721+00:00,2026-03-07 16:52:56.251729+00:00,1,spot,2026-03-07 16:52:56.249769+00:00,,,,,2992.7021,2988.4505,0E-8,0.0000,akshare.stock_zh_index_spot_sina
54,2026-03-07 16:52:29.461281+00:00,2026-03-07 16:52:29.461296+00:00,10,spot,2026-03-07 16:52:29.459029+00:00,,,,,1.7810,1.7779,0E-8,0.0000,akshare.bond_zh_us_rate
53,2026-03-07 16:52:25.257297+00:00,2026-03-07 16:52:25.257305+00:00,9,spot,2026-03-07 16:52:25.255660+00:00,,,,,6.9031,6.9145,0E-8,0.0000,yfinance.fast_info
52,2026-03-07 16:52:22.995885+00:00,2026-03-07 16:52:22.995890+00:00,7,spot,2026-03-07 16:52:22.995049+00:00,,,,,1427.3530,1427.2250,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
51,2026-03-07 16:52:21.380099+00:00,2026-03-07 16:52:21.380111+00:00,6,spot,2026-03-07 16:52:21.377780+00:00,,,,,4947.5000,4796.3301,0E-8,0.0000,yfinance.fast_info
50,2026-03-07 16:52:20.313984+00:00,2026-03-07 16:52:20.313991+00:00,5,spot,2026-03-07 16:52:20.312910+00:00,,,,,1414.3943,1405.3534,0E-8,0.0000,akshare.stock_zh_index_spot_sina
49,2026-03-07 16:52:19.542300+00:00,2026-03-07 16:52:19.542306+00:00,4,spot,2026-03-07 16:52:19.541332+00:00,,,,,3229.3020,3216.9390,0E-8,0.0000,akshare.stock_zh_index_spot_sina
48,2026-03-07 16:52:18.770614+00:00,2026-03-07 16:52:18.770624+00:00,3,spot,2026-03-07 16:52:18.769647+00:00,,,,,8248.8569,8171.1194,0E-8,0.0000,akshare.stock_zh_index_spot_sina
47,2026-03-07 16:52:17.970996+00:00,2026-03-07 16:52:17.971001+00:00,2,spot,2026-03-07 16:52:17.970022+00:00,,,,,4660.4390,4647.6921,0E-8,0.0000,akshare.stock_zh_index_spot_sina
46,2026-03-07 16:52:17.113239+00:00,2026-03-07 16:52:17.113247+00:00,1,spot,2026-03-07 16:52:17.110559+00:00,,,,,2992.7021,2988.4505,0E-8,0.0000,akshare.stock_zh_index_spot_sina
45,2026-03-07 16:51:19.314880+00:00,2026-03-07 16:51:19.314892+00:00,24,spot,2026-03-07 16:51:19.312730+00:00,,,,,0.8826,0.8839,0E-8,0.0000,yfinance.fast_info
44,2026-03-07 16:51:19.032688+00:00,2026-03-07 16:51:19.032710+00:00,9,spot,2026-03-07 16:51:19.029219+00:00,,,,,6.9031,6.9145,0E-8,0.0000,yfinance.fast_info
43,2026-03-07 16:51:16.474368+00:00,2026-03-07 16:51:16.474381+00:00,7,spot,2026-03-07 16:51:16.472031+00:00,,,,,1427.3530,1427.2250,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
42,2026-03-07 16:51:14.747448+00:00,2026-03-07 16:51:14.747457+00:00,6,spot,2026-03-07 16:51:14.745476+00:00,,,,,4947.5000,4796.3301,0E-8,0.0000,yfinance.fast_info
41,2026-03-07 16:51:13.641806+00:00,2026-03-07 16:51:13.641813+00:00,5,spot,2026-03-07 16:51:13.640865+00:00,,,,,1414.3943,1405.3534,0E-8,0.0000,akshare.stock_zh_index_spot_sina
40,2026-03-07 16:51:12.817335+00:00,2026-03-07 16:51:12.817346+00:00,4,spot,2026-03-07 16:51:12.815943+00:00,,,,,3229.3020,3216.9390,0E-8,0.0000,akshare.stock_zh_index_spot_sina
39,2026-03-07 16:51:11.736953+00:00,2026-03-07 16:51:11.736960+00:00,3,spot,2026-03-07 16:51:11.735891+00:00,,,,,8248.8569,8171.1194,0E-8,0.0000,akshare.stock_zh_index_spot_sina
38,2026-03-07 16:51:10.840529+00:00,2026-03-07 16:51:10.840536+00:00,2,spot,2026-03-07 16:51:10.839534+00:00,,,,,4660.4390,4647.6921,0E-8,0.0000,akshare.stock_zh_index_spot_sina
37,2026-03-07 16:51:09.798469+00:00,2026-03-07 16:51:09.798493+00:00,1,spot,2026-03-07 16:51:09.793779+00:00,,,,,2992.7021,2988.4505,0E-8,0.0000,akshare.stock_zh_index_spot_sina
36,2026-03-07 16:48:52.874306+00:00,2026-03-07 16:48:52.874321+00:00,24,spot,2026-03-07 16:48:52.869336+00:00,,,,,0.8826,0.8839,0E-8,0.0000,yfinance.fast_info
35,2026-03-07 16:45:44.554248+00:00,2026-03-07 16:45:44.554252+00:00,7,spot,2026-03-07 16:45:44.553361+00:00,,,,,1427.3530,1427.2250,0E-8,0.0000,akshare.stock_zh_index_daily.fallback_close
34,2026-03-07 16:45:43.129226+00:00,2026-03-07 16:45:43.129243+00:00,6,spot,2026-03-07 16:45:43.125383+00:00,,,,,4947.5000,4796.3301,0E-8,0.0000,yfinance.fast_info
33,2026-03-07 16:45:41.846922+00:00,2026-03-07 16:45:41.846928+00:00,5,spot,2026-03-07 16:45:41.845980+00:00,,,,,1414.3943,1405.3534,0E-8,0.0000,akshare.stock_zh_index_spot_sina
32,2026-03-07 16:45:41.057781+00:00,2026-03-07 16:45:41.057788+00:00,4,spot,2026-03-07 16:45:41.056405+00:00,,,,,3229.3020,3216.9390,0E-8,0.0000,akshare.stock_zh_index_spot_sina
